epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02997,1.89105,3.28796,1.60329,0.01248,0.805,0.20255,0.10399,1.1654,3.05677,1.10616,0.00024,0.00024,0.00024
2,12.9293,1.12406,2.17596,1.09369,0.25892,0.62,0.46498,0.23596,1.19144,2.76987,1.07319,0.00049505,0.00049505,0.00049505
3,18.4926,1.20605,1.53744,1.13648,0.47158,0.305,0.29943,0.1501,1.26016,2.56808,1.14763,0.000744952,0.000744952,0.000744952
4,22.9532,1.16669,1.43529,1.13347,0.4904,0.375,0.38956,0.22891,1.38808,2.37967,1.1264,0.000989706,0.000989706,0.000989706
5,27.2334,1.20278,1.45041,1.12377,0.58865,0.455,0.54428,0.29198,1.2809,2.20448,1.15975,0.00122931,0.00122931,0.00122931
6,31.6656,1.21164,1.33153,1.10907,0.58047,0.665,0.60182,0.35513,1.32108,1.94201,1.21943,0.00146377,0.00146377,0.00146377
7,36.0103,1.15495,1.28256,1.09091,0.52681,0.675,0.56192,0.31985,1.32785,1.88536,1.27035,0.00169308,0.00169308,0.00169308
8,40.3691,1.17402,1.24532,1.08557,0.64239,0.63,0.61183,0.349,1.33583,1.70166,1.29933,0.0018614,0.0018614,0.0018614
9,44.675,1.15052,1.23805,1.10541,0.65326,0.675,0.70237,0.43785,1.20022,1.52445,1.16502,0.0018416,0.0018416,0.0018416
10,48.9761,1.13082,1.20091,1.08775,0.78249,0.68,0.74258,0.48015,1.18871,1.51978,1.15331,0.0018218,0.0018218,0.0018218
11,53.3309,1.15924,1.15463,1.08518,0.57691,0.705,0.63308,0.34656,1.25744,1.67285,1.3073,0.001802,0.001802,0.001802
12,57.6743,1.09414,1.08638,1.06936,0.75496,0.72401,0.75321,0.51156,1.10185,1.43971,1.07737,0.0017822,0.0017822,0.0017822
13,62.0472,1.10076,1.10543,1.08331,0.71507,0.705,0.73186,0.47112,1.13935,1.58511,1.11739,0.0017624,0.0017624,0.0017624
14,66.4859,1.08729,1.10196,1.06365,0.76926,0.725,0.76623,0.48189,1.21042,1.40048,1.1505,0.0017426,0.0017426,0.0017426
15,70.9309,1.0951,1.04373,1.05965,0.69872,0.80011,0.70771,0.47003,1.11163,1.34326,1.08989,0.0017228,0.0017228,0.0017228
16,75.2535,1.04694,1.02403,1.0372,0.79224,0.735,0.79503,0.52834,1.12986,1.22176,1.09249,0.001703,0.001703,0.001703
17,79.5933,1.0748,1.09568,1.06772,0.85474,0.83,0.86727,0.59469,1.00132,1.06245,1.02171,0.0016832,0.0016832,0.0016832
18,84.0244,1.03516,1.01137,1.04152,0.86626,0.8,0.86883,0.57173,1.04047,1.05047,1.02249,0.0016634,0.0016634,0.0016634
19,88.3994,1.01284,0.9742,1.03347,0.82386,0.81854,0.81397,0.56748,1.03874,1.11413,1.0653,0.0016436,0.0016436,0.0016436
20,92.8506,1.03788,0.97289,1.03006,0.83306,0.86,0.85641,0.60136,1.06221,1.02375,1.04111,0.0016238,0.0016238,0.0016238
21,97.3684,1.05153,0.95218,1.04416,0.83285,0.785,0.8516,0.60009,1.03668,0.96858,1.03075,0.001604,0.001604,0.001604
22,101.878,1.0478,0.96713,1.04683,0.79517,0.79585,0.84821,0.5754,1.04964,1.01585,1.03414,0.0015842,0.0015842,0.0015842
23,106.307,1.03498,0.93762,1.0403,0.83278,0.825,0.83677,0.59485,0.97013,1.03776,1.0233,0.0015644,0.0015644,0.0015644
24,110.653,1.05823,0.90711,1.02215,0.83371,0.85231,0.86171,0.60688,1.0177,0.90635,1.03317,0.0015446,0.0015446,0.0015446
25,115.1,0.95931,0.82769,0.99768,0.86489,0.83217,0.88112,0.61439,1.04779,0.92433,1.01825,0.0015248,0.0015248,0.0015248
26,119.463,1.01314,0.88313,1.01635,0.84627,0.86,0.87099,0.6174,1.00155,0.88334,1.01562,0.001505,0.001505,0.001505
27,123.922,0.96513,0.86093,1.00045,0.84331,0.865,0.85299,0.5967,0.98162,0.90646,0.99164,0.0014852,0.0014852,0.0014852
28,128.365,0.9872,0.87015,1.02068,0.84967,0.8,0.86012,0.58317,1.01291,0.96055,0.99413,0.0014654,0.0014654,0.0014654
29,133.019,0.93897,0.82851,1.00634,0.81489,0.84,0.86517,0.61143,1.0018,0.90405,1.02045,0.0014456,0.0014456,0.0014456
30,137.588,1.00845,0.83402,0.99839,0.83901,0.85992,0.8777,0.57492,1.09469,0.93955,1.01886,0.0014258,0.0014258,0.0014258
